Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variável - Quantidade produzida (Toneladas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ano x Produto das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Total;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Matrinchã (GO);..;-;-;-;...;-;-;-;-;660;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4500;-;-;-;-;-;-;-;-;-;-;-;-;-;510;-;-;-;-;-;11000;-;-;-;-;-;-;-;44800;2280;-;-;-;-;-;-;-
Maurilândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1072450;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;-;-;-;1610;-;27260;-;-;-;-;-;-;-;39754;3750;-;-;-;-;-;-;-
Mimoso de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;515;-;-;-;-;-;-;-;-;-;-;450;-;-;-;-;-;64530;-;-;-;-;-;-;-;80379;780;-;-;-;-;-;-;-
Minaçu (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;740;-;-;-;-;-;1023;-;-;-;-;-;-;-;4576;-;-;-;-;-;-;-;-
Mineiros (GO);..;-;-;-;...;-;3650;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;4938500;...;-;-;-;-;-;-;-;-;-;-;-;3575;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;787200;-;-;-;-;-;-;-;472500;29000;-;-;-;-;-;-;-
Moiporá (GO);..;-;-;-;...;-;-;-;-;-;-;-;160;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6000;-;-;-;-;-;-;-;-
Monte Alegre de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;5892;765;-;-;-;-;-;-;-
Montes Claros de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;500;-;-;-;...;-;-;-;-;...;540000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;850;-;-;-;-;-;19200;-;-;-;-;-;-;-;156000;-;-;-;-;-;-;-;-
Montividiu (GO);..;-;-;-;...;-;6240;-;-;2112;-;-;-;-;-;-;...;-;-;-;-;...;91000;...;-;-;-;-;-;-;-;-;-;-;-;2920;-;-;4811;-;-;-;-;-;-;-;-;-;-;290;-;-;-;-;-;636220;-;-;-;-;-;-;-;523300;49500;-;-;-;-;-;-;-
Montividiu do Norte (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;264;-;-;-;-;-;1085;-;-;-;-;-;-;-;8722;-;-;-;-;-;-;-;-
Morrinhos (GO);..;-;1925;-;...;-;836;-;-;50;-;-;2660;-;-;266;...;-;-;-;-;...;1570673;...;-;-;-;-;-;-;-;-;-;-;-;6360;-;-;390;1920;-;-;2812;-;-;-;-;-;-;1294;-;-;-;-;-;52960;-;1200;-;-;-;-;-;192600;22597;-;191000;-;-;-;-;-
Morro Agudo de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;160;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199;-;-;-;-;-;1275;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mossâmedes (GO);..;-;-;-;...;-;-;-;-;-;-;-;1169;-;-;-;...;-;-;-;-;...;32531;...;-;-;-;-;-;-;-;-;-;-;-;2646;-;-;-;-;-;-;-;-;-;-;-;-;-;960;-;-;-;-;-;14100;-;-;-;-;-;-;-;13440;473;-;-;-;-;-;-;-
Mozarlândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;234;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;-;-;-;-;-;-;-;-;510;-;-;-;-;-;2400;-;-;-;-;-;-;-;14400;-;-;-;-;-;-;-;-
Mundo Novo (GO);..;-;-;-;...;-;-;-;-;-;-;-;198;-;-;289;...;-;-;-;-;...;1500;...;-;-;-;-;-;-;-;-;-;-;-;1500;-;-;-;-;-;-;-;-;-;-;-;726;-;2466;-;-;-;3000;-;7850;-;-;-;-;-;-;-;70000;1120;-;-;-;-;-;-;-
Mutunópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;358;-;-;-;-;-;707;-;-;-;-;-;-;-;4386;-;-;-;-;-;-;-;-
Nazário (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;31200;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6070;-;-;-;-;-;-;-;8556;900;-;-;-;-;-;-;80
Nerópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;157;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;959;37;-;-;-;-;-;842;-;-;-;-;-;2900;-;-;-;-;-;-;-;4300;435;1968;1287;-;-;-;-;-
Niquelândia (GO);..;-;100;-;...;-;-;-;-;-;-;-;198;-;4800;1638;...;-;720;720;-;...;39000;...;-;-;1200;-;-;-;-;-;-;-;-;1800;-;-;-;-;-;-;-;-;-;-;-;-;-;1045;-;-;-;900;-;44792;-;270;-;-;-;-;-;252000;5800;-;-;6980;-;-;-;-
Nova América (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;52360;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;384;-;-;-;-;-;258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nova Aurora (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1200;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;950;-;-;-;-;-;-;-;2900;-;-;-;-;-;-;-;-
Nova Crixás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1500;-;-;-;-;-;-;-;-;-;-;-;-;-;1613;-;-;-;3000;-;30000;-;-;-;-;-;-;-;160000;-;-;-;-;-;-;-;-
Nova Glória (GO);..;-;-;-;...;-;-;-;-;-;-;-;1611;-;-;350;...;-;-;-;-;...;556750;...;-;-;-;-;-;-;-;-;-;-;-;588;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5063;-;3930;-;-;-;-;-;-;-;3116;-;-;-;-;-;-;-;-
Nova Iguaçu de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;88;-;-;-;...;-;-;-;-;...;600;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;522;-;-;-;-;-;-;-;-
Nova Roma (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;350;-;-;-;384;-;-;-;-;-;-;-;-;-;3165;-;-;-;-;-;-;-;-
Nova Veneza (GO);..;-;-;-;...;-;-;-;-;10;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;635;-;-;-;-;-;-;-;724;-;-;-;-;-;-;-;-
Novo Brasil (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1020;-;-;-;-;-;870;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Novo Gama (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;455;-;-;-;-;-;2864;-;-;-;-;-;-;-;1261;-;-;-;-;-;-;-;-
Novo Planalto (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;262;-;-;-;-;-;1285;-;-;-;-;-;-;-;33221;-;-;-;-;-;-;-;-
Orizona (GO);..;-;-;-;...;-;-;-;-;45;-;-;98;-;-;-;...;-;-;-;-;...;4550;...;-;-;-;-;-;-;-;-;-;-;-;125;-;-;3960;-;-;-;-;-;-;-;-;-;-;1659;-;-;-;-;-;50680;-;-;-;-;-;-;-;151200;17500;-;28140;-;-;-;-;-
Ouro Verde de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;6460;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1318;-;-;-;-;-;1685;-;-;-;-;-;-;-;-;-;564;615;-;-;-;-;-
Ouvidor (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;63;63;-;...;200;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250;-;-;-;-;-;3800;-;-;-;-;-;-;-;20400;4200;-;3900;-;-;-;-;-
Padre Bernardo (GO);..;155;-;-;...;-;-;2200;-;870;-;-;-;-;9450;-;...;-;-;-;-;...;-;...;-;-;370;-;-;-;-;-;-;-;-;6510;-;-;-;263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;196550;-;-;-;-;-;-;-;230970;8670;-;360;-;-;-;-;380
Palestina de Goiás (GO);..;-;-;-;...;-;-;-;-;880;-;-;130;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;750;-;-;1980;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80400;-;-;-;-;-;-;-;63000;2745;-;-;-;-;-;-;-
Palmeiras de Goiás (GO);..;-;-;-;...;-;3167;-;-;-;-;-;99;-;-;396;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2535;-;-;-;-;-;-;2200;45;-;-;-;-;-;288;-;-;-;-;-;44100;-;900;-;-;-;-;-;128000;23100;-;32760;-;-;-;-;-
Palmelo (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;525;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;363;-;-;-;-;-;-;130;-;-;-;-;-;4520;-;-;-;-;-;-;-;4725;-;-;-;-;-;-;-;-
Palminópolis (GO);..;-;-;-;...;-;-;-;-;780;-;-;-;-;-;200;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-;8000;-;-;-;-;-;-;-;24000;-;-;9000;-;-;-;-;-
Panamá (GO);..;-;-;-;...;-;-;-;-;-;-;-;85;-;-;-;...;-;-;-;-;...;185150;...;-;-;-;-;-;-;28;-;-;-;-;-;-;-;1224;-;-;-;180;-;-;-;-;-;-;34;-;-;-;-;-;13254;-;-;-;-;-;-;-;40500;240;-;-;-;-;-;-;-
Paranaiguara (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;145;...;-;-;-;-;...;1619505;...;-;-;-;-;-;-;-;-;-;-;-;810;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;6804;-;-;-;-;-;-;-;8280;-;-;-;-;-;-;-;-
Paraúna (GO);..;-;-;-;...;-;-;-;-;9600;-;-;-;-;-;473;...;-;1793;1793;-;...;1234800;...;-;-;-;-;-;-;-;-;-;-;-;15264;-;-;-;-;-;-;998;-;-;-;-;-;-;273;-;-;-;-;-;305790;-;-;-;-;-;-;-;426000;31670;-;-;-;-;-;-;725
Perolândia (GO);..;-;-;-;...;-;3160;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;910000;...;-;-;-;-;-;-;-;-;-;-;-;2943;-;-;750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;239500;-;-;-;-;-;-;-;193440;5800;-;-;-;-;-;-;-
Petrolina de Goiás (GO);..;-;-;-;...;-;-;-;-;51;-;-;18000;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;-;-;-;-;-;-;-;-;717;-;-;-;-;-;1120;-;-;-;-;-;-;-;7200;-;-;-;-;-;-;-;-
Pilar de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Piracanjuba (GO);..;-;500;-;...;-;1020;-;-;-;-;-;121;-;-;102;...;-;-;-;-;...;2250;...;-;-;-;-;-;-;-;-;-;-;-;2229;-;40;2371;-;-;-;1520;-;-;-;-;-;-;1400;-;-;-;-;-;71984;-;827;-;-;-;-;-;283500;52027;171;82100;-;-;-;-;-
Piranhas (GO);..;-;-;-;...;-;-;-;-;-;-;-;280;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1190;-;-;-;-;-;-;-;-;-;-;-;-;-;153000;-;-;-;-;-;-;-;-
Pirenópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;13782;-;-;637;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;795;-;-;-;-;-;-;2464;-;-;-;-;-;5530;-;-;-;-;-;-;-;16169;2560;1200;2490;-;-;-;-;75
Pires do Rio (GO);..;-;-;-;...;-;-;-;-;-;-;-;198;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278;-;-;-;-;-;26250;-;-;-;-;-;-;-;60225;19800;-;-;-;-;-;-;-
Planaltina (GO);..;-;-;-;...;-;-;-;-;-;-;-;245;-;5110;-;...;-;96;96;-;...;-;...;-;-;8024;-;-;-;-;-;-;-;-;12001;-;-;-;-;-;-;-;-;-;-;-;-;-;2048;-;170;-;-;-;57531;-;-;-;-;-;-;-;99180;2155;-;16568;-;-;-;-;-
Pontalina (GO);..;-;124;-;...;-;-;-;-;-;-;-;149;-;-;120;...;-;-;-;-;...;346000;...;-;-;-;-;-;-;-;-;-;-;-;890;-;-;774;-;-;-;3900;-;-;-;-;-;-;1015;-;-;-;-;-;29591;-;170;-;-;-;-;-;119000;6052;-;58000;-;-;-;-;-
Porangatu (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1375;-;-;-;-;-;2822;-;-;-;-;-;-;-;64175;6330;-;-;-;-;-;-;-
Porteirão (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1975400;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42380;-;-;-;-;-;-;-;51750;7540;-;-;-;-;-;-;-
Portelândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;360000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1065;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74400;-;-;-;-;-;-;-;63600;3000;-;-;-;-;-;-;-
Posse (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;324;-;-;-;-;-;-;-;-;-;-;-;-;-;205;-;-;-;-;-;120;-;-;-;-;-;-;-;1296;504;-;-;-;-;-;-;-
Professor Jamil (GO);..;-;-;-;...;-;-;-;-;-;-;-;380;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;10;228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3106;-;1190;-;-;-;-;-;13110;1311;-;-;-;-;-;-;-
Quirinópolis (GO);..;-;160;-;...;-;-;-;-;-;-;-;-;-;-;70;...;-;-;-;-;...;7127874;...;-;-;-;-;-;-;-;-;-;-;-;1260;-;-;774;-;-;-;18;-;-;-;-;-;-;2204;-;-;-;-;-;46300;-;-;-;-;-;-;-;121500;8100;-;-;-;-;-;-;-
Rialma (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;63;...;-;-;-;-;...;167860;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;7518;-;4091;-;-;-;-;-;-;-;7296;300;-;-;-;-;-;-;-
Rianápolis (GO);..;-;731;-;...;-;-;-;-;-;-;-;-;-;-;100;...;-;-;-;-;...;62058;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;294;-;-;-;8000;-;467;-;-;-;-;-;-;-;2310;-;-;-;-;-;-;-;25
Rio Quente (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1167;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;183;-;-;-;-;-;-;-;2000;195;-;-;-;-;-;-;-
Rio Verde (GO);..;-;-;-;...;-;6116;-;-;2322;-;-;1560;-;-;230;...;-;-;-;-;...;2077575;...;-;-;-;-;-;-;-;-;-;-;-;11070;-;-;8891;-;-;-;5283;60;-;-;-;-;-;2579;-;-;-;9500;-;2249240;-;-;-;-;-;-;-;1572500;201400;30;-;1734;-;-;-;-
Rubiataba (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;504576;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163;-;-;-;2100;-;1323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sanclerlândia (GO);..;-;-;-;...;-;-;-;-;53;-;-;387;-;-;-;...;-;-;-;-;...;3575;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;425;-;-;-;-;-;1512;-;-;-;-;-;-;-;4800;-;-;-;-;-;-;-;-
Santa Bárbara de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8555;-;-;-;-;-;-;-;10044;364;-;-;-;-;-;-;-
Santa Cruz de Goiás (GO);..;-;-;-;...;-;-;-;-;31;-;-;-;-;-;-;...;-;-;-;-;...;2295;...;-;-;1200;-;-;-;-;-;-;-;-;230;-;-;238;-;-;-;-;-;-;-;-;-;-;810;-;-;-;-;-;55350;-;-;-;-;-;-;-;98000;2625;-;-;-;-;-;-;-
Santa Fé de Goiás (GO);..;-;-;-;...;-;-;-;-;6000;-;-;184;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;6480;-;-;-;-;-;-;-;-;-;-;-;-;-;302;-;-;-;20000;-;-;-;-;-;-;-;-;-;31320;-;-;-;-;-;-;-;-
Santa Helena de Goiás (GO);..;-;-;-;...;-;3534;-;-;-;-;-;2331;-;-;-;...;-;-;-;-;...;2155250;...;-;-;-;-;-;-;-;-;-;-;-;3900;-;-;-;-;-;-;-;-;-;-;-;-;-;1034;-;-;-;3655;-;268280;-;-;-;-;-;-;-;210800;34100;-;22800;-;-;-;-;43
Santa Isabel (GO);..;-;1003;-;...;-;-;-;-;87;-;-;8905;-;-;138;...;-;-;-;-;...;422368;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1200;-;-;-;76;-;3900;-;2216;-;-;-;-;-;-;-;3800;-;-;-;-;-;-;-;-
Santa Rita do Araguaia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;42700;-;-;-;-;-;-;-;32600;-;-;-;-;-;-;-;62
Santa Rita do Novo Destino (GO);..;-;-;-;...;-;-;-;-;-;-;-;60;-;-;4610;...;-;-;-;-;...;287744;...;-;-;-;-;-;-;-;-;-;-;-;841;-;-;-;-;-;-;-;-;-;-;-;-;-;399;-;-;-;-;-;4968;-;-;-;-;-;-;-;29325;-;-;-;451;-;-;-;-
Santa Rosa de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;2975;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;750;-;-;-;-;-;-;-;-;-;-;-;-;-;1990;-;-;-;-;-;7936;-;-;-;-;-;-;-;13600;-;-;-;480;-;-;-;-
Santa Tereza de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;209;-;-;-;-;-;525;-;-;-;-;-;-;-;6491;-;-;-;-;-;-;-;-
Santa Terezinha de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;88;-;-;104;...;-;-;-;-;...;1125;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;378;-;-;-;-;-;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Santo Antônio da Barra (GO);..;-;-;-;...;-;-;-;-;-;-;-;120;-;-;-;...;-;-;-;-;...;456000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;40470;-;-;-;-;-;-;-;40509;6080;-;-;-;-;-;-;-
Santo Antônio de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;90;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;2220;-;-;-;-;-;-;-;4860;-;54;-;-;-;-;-;-
Santo Antônio do Descoberto (GO);..;-;-;-;...;-;-;-;-;-;-;-;56;-;-;-;...;-;6;6;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;493;-;-;-;-;-;-;-;-;-;-;-;-;-;220;-;-;-;-;-;4971;-;-;-;-;-;-;-;5552;995;-;-;-;-;-;-;266
São Domingos (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;750;-;19748;-;-;-;-;-;-;-;34771;3390;-;-;-;-;-;-;-
São Francisco de Goiás (GO);..;-;220;-;...;-;-;-;-;60;-;-;330;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;725;-;-;-;-;-;4038;-;-;-;-;-;-;-;8461;-;-;1050;-;-;-;-;-
São João d'Aliança (GO);..;-;-;-;...;-;-;-;-;18645;-;-;192;-;14578;-;...;-;438;438;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;21707;-;-;-;-;-;-;-;-;-;-;-;-;-;1026;-;-;-;-;-;117273;-;-;-;-;-;-;-;155872;3863;-;31270;13207;-;-;-;-
São João da Paraúna (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;27;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27600;-;-;-;-;-;-;-;49000;6800;-;-;-;-;-;-;280
São Luís de Montes Belos (GO);..;-;-;-;...;-;-;-;-;-;-;-;5615;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1020;-;-;-;-;-;-;-;-;-;-;-;-;-;15000;-;-;-;-;-;-;-;-
São Luiz do Norte (GO);..;-;5000;-;...;-;-;-;-;-;-;-;-;-;-;650;...;-;-;-;-;...;1590000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;195;-;-;-;1392;-;1200;-;108;-;-;-;-;-;13959;280;-;-;-;-;-;-;-
São Miguel do Araguaia (GO);..;-;-;-;...;-;-;-;-;9688;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;350;-;-;-;-;-;2346;-;-;-;-;-;-;-;33330;1809;-;-;-;-;-;-;-
