Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variável - Quantidade produzida (Toneladas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ano x Produto das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Total;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Caldas Novas (GO);..;-;-;-;...;-;-;-;-;24;-;-;123;-;-;-;...;-;-;-;-;...;573;...;-;-;-;-;-;-;-;-;-;-;-;243;-;-;-;-;-;-;13000;-;-;-;-;-;-;673;-;-;-;-;-;73346;-;-;-;-;-;-;-;147000;17912;-;8000;-;-;-;-;-
Caldazinha (GO);..;-;-;-;...;-;-;-;-;-;-;-;391;-;-;12;...;-;-;-;-;...;462;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;648;-;-;-;-;-;-;1360;-;-;-;-;-;624;-;-;-;-;-;-;-;840;1175;855;-;-;-;-;-;-
Campestre de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;950;-;-;-;-;-;-;-;-;-;-;-;-;1080;-;-;-;-;-;-;-;2604;130;-;-;-;-;-;-;-
Campinaçu (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;284;-;-;-;-;-;1000;-;-;-;-;-;-;-;13261;-;-;-;-;-;-;-;-
Campinorte (GO);..;-;-;-;...;-;-;-;-;-;-;-;35;-;-;-;...;-;-;-;-;...;157500;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133;26;-;-;-;-;11440;-;-;-;-;-;-;-;38280;1450;-;-;-;-;-;-;-
Campo Alegre de Goiás (GO);..;-;-;-;...;-;-;6500;-;4050;-;-;-;-;64750;42;...;-;3000;3000;-;...;40000;...;-;-;9000;-;-;-;-;-;-;-;-;11500;-;-;1400;-;-;-;-;-;-;-;-;-;-;30;-;450;-;-;-;40600;-;-;-;-;-;-;-;231000;29950;-;13230;10297;-;-;-;-
Campo Limpo de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;1854;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;690;-;-;-;-;-;-;2700;-;-;-;-;-;1354;-;-;-;-;-;-;-;3150;-;1834;-;-;-;-;-;-
Campos Belos (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;650;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;918;-;-;-;-;-;-;-;-
Campos Verdes (GO);..;-;-;-;...;-;-;-;-;-;-;-;46;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;285;-;-;-;-;-;295;-;-;-;-;-;-;-;960;-;-;-;-;-;-;-;-
Carmo do Rio Verde (GO);..;-;-;-;...;-;-;-;-;-;-;-;2175;-;-;-;...;-;-;-;-;...;635040;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;1720;-;16209;-;4623;-;-;-;-;-;-;-;2160;-;-;-;-;-;-;-;-
